Company,Position,Skill,Location
마드라스체크,엔터프라이즈 개발자,['QA 엔지니어링'],서울.한국
그릿스탠다드,웹 프론트엔드 개발자(신입),"['Java', 'Python', 'SQL', 'AWS', 'ElasticSearch', 'Kubernetes']",서울.한국
그릿스탠다드,파이썬 개발자,"['Java', 'Python', 'SQL', 'AWS', 'ElasticSearch', 'Kubernetes']",서울.한국
그릿스탠다드,RPA 개발자,"['Java', 'Python', 'SQL', 'AWS', 'ElasticSearch', 'Kubernetes']",서울.한국
밀리만코리아(Milliman),Software Engineer (Application 개발),"['Git', 'Github', 'TypeScript', 'Jenkins', 'React.js']",서울.한국
모던텍,전기자동차 SW팀 C#/C++/웹/자바 개발자(신입/서울),"['C', 'Embedded Linux', 'Embedded C']",서울.한국
모던텍,전기자동차 SW팀 C#/C++/웹/자바 개발자(신입/창원),"['C', 'Embedded Linux', 'Embedded C']",경남.한국
에이테크솔루션,IT전산운영/관리,['Python'],경기.한국
스카이오토넷,임베디드 SW개발자 (전문연구요원),"['Shader', 'C', 'C++', '차량', '검증', 'CAM', '카메라', 'Embedded Linux', '공차 분석', 'Embedded C']",서울.한국
디알엑스,서비스 기획자,null,서울.한국
뱅가드랩,자바 개발 및 설계,"['Oracle', 'VueJS', 'Java', 'JavaScript']",서울.한국
에이비에이치,SI 개발팀 (연구원/선임연구원급)_부산,"['React', 'HTML', 'JavaScript', 'SQL', 'Spring Framework']",부산.한국
에이비에이치,SI 개발팀 (연구원/선임연구원급)_울산,"['React', 'HTML', 'JavaScript', 'SQL', 'Spring Framework']",울산.한국
토탈미디어그램,프론트엔드 개발자,"['AngularJS', 'TypeScript']",서울.한국
아토머스(마인드카페),파이썬(python) 백엔드 개발자(전문연구요원),null,서울.한국
아키드로우,[아키스케치] QA 개발자_전문연구요원,"['AWS', 'Spring Framework']",서울.한국
아키드로우,[아키스케치] 백엔드 개발자,"['AWS', 'Spring Framework']",서울.한국
지란지교소프트,[개발] 백엔드 서버 개발자(PHP),"['Git', 'Google Cloud Platform', 'MongoDB', 'MySQL', 'Redis', 'JavaScript', 'PHP', 'AWS', 'PostgreSQL', 'Laravel']",경기.한국
에이아이리더,인공지능 모델 개발자_서울,null,서울.한국
지씨,웹 GIS 개발자(웹페이지 퍼블리셔 및 디자인),"['Linux', 'VueJS', 'C / C++', 'C#', 'CSS', 'JavaScript', 'Python', 'Docker', 'PostgreSQL', 'NodeJS', 'MFC', 'Spring Boot', '전자정부프레임워크']",인천.한국
에스디티,M-SDT 프론트 개발자,null,서울.한국
에스디티,M-SDT 시스템/네트워크 엔지니어,null,서울.한국
한국평가정보,Frontend Engineer,"['Git', 'Linux', 'React', 'Spark', 'Java', 'JavaScript', 'Python', 'AWS', 'Docker', 'Spring Framework']",서울.한국
해커스홀딩스,웹(Front-End)개발자,"['CSS', 'HTML']",서울.한국
나두모두,프론트엔드 엔지니어,"['Github', 'React', 'TypeScript', 'AWS', 'Docker', 'Next.js']",서울.한국
세무통,프런트엔드 개발자,null,서울.한국
준일,웹 개발자,"['Github', 'React', 'JavaScript', 'AWS', 'API', 'React.js']",울산.한국
